date,canton,pop,atLeastOneDoseTotal,atLeastOneDosePer100,partiallyVaccTotal,partiallyVaccPer100,fullyVaccinatedTotal,fullyVaccinatedPer100,firstBoosterVaccinatedTotal,firstBoosterVaccinatedPer100
2020-12-31,BS,174132,2182,1.25,2181,1.25,1,0,0,0
2020-12-31,CH,7678659,6277,0.08,6266,0.08,11,0,0,0
2020-12-31,CHFL,7713153,6277,0.08,6266,0.08,11,0,0,0
2020-12-31,FL,34494,0,0,0,0,0,0,0,0
2020-12-31,FR,286302,734,0.26,734,0.26,0,0,0,0
2020-12-31,GE,445161,56,0.01,56,0.01,0,0,0,0
2020-12-31,GL,36367,0,0,0,0,0,0,0,0
2020-12-31,GR,180259,1,0,1,0,0,0,0,0
2020-12-31,JU,64986,0,0,0,0,0,0,0,0
2020-12-31,LU,367937,1217,0.33,1217,0.33,0,0,0,0
2020-12-31,NE,155178,213,0.14,213,0.14,0,0,0,0
2020-12-31,NW,39193,179,0.46,179,0.46,0,0,0,0
2020-12-31,OW,33828,1,0,1,0,0,0,0,0
2020-12-31,SG,454531,13,0,13,0,0,0,0,0
2020-12-31,SH,74316,93,0.13,93,0.13,0,0,0,0
2020-12-31,SO,247249,150,0.06,150,0.06,0,0,0,0
2020-12-31,SZ,144615,275,0.19,275,0.19,0,0,0,0
2020-12-31,TG,250045,194,0.08,194,0.08,0,0,0,0
2020-12-31,TI,317007,3,0,3,0,0,0,0,0
2020-12-31,UR,32706,2,0.01,2,0.01,0,0,0,0
2020-12-31,VD,717158,86,0.01,86,0.01,0,0,0,0
2020-12-31,VS,312362,24,0.01,20,0.01,4,0,0,0
2020-12-31,ZG,113860,205,0.18,204,0.18,1,0,0,0
2020-12-31,ZH,1369335,140,0.01,139,0.01,1,0,0,0
2021-01-01,AG,615124,195,0.03,192,0.03,3,0,0,0
2021-01-01,AI,14261,41,0.29,41,0.29,0,0,0,0
2021-01-01,AR,48435,5,0.01,4,0.01,1,0,0,0
2021-01-01,BE,925166,6,0,6,0,0,0,0,0
2021-01-01,BL,259146,263,0.1,263,0.1,0,0,0,0
2021-01-01,BS,174132,2182,1.25,2181,1.25,1,0,0,0
2021-01-01,CH,7678659,6286,0.08,6274,0.08,12,0,1,0
2021-01-01,CHFL,7713153,6286,0.08,6274,0.08,12,0,1,0
2021-01-01,FL,34494,0,0,0,0,0,0,0,0
2021-01-01,FR,286302,735,0.26,735,0.26,0,0,0,0
2021-01-01,GE,445161,56,0.01,56,0.01,0,0,0,0
2021-01-01,GL,36367,1,0,1,0,0,0,0,0
2021-01-01,GR,180259,1,0,1,0,0,0,0,0
2021-01-01,JU,64986,0,0,0,0,0,0,0,0
2021-01-01,LU,367937,1217,0.33,1217,0.33,0,0,0,0
2021-01-01,NE,155178,214,0.14,214,0.14,0,0,0,0
2021-01-01,NW,39193,179,0.46,179,0.46,0,0,0,0
2021-01-01,OW,33828,1,0,1,0,0,0,0,0
2021-01-01,SG,454531,13,0,12,0,1,0,0,0
2021-01-01,SH,74316,93,0.13,93,0.13,0,0,0,0
2021-01-01,SO,247249,150,0.06,150,0.06,0,0,0,0
